"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1",190,2,82,91,2,677,6,0.41
"GET","key10",207,4,79,91,3,606,7,0.45
"GET","key100",192,2,82,89,2,229,8,0.42
"GET","key1000",206,2,91,97,1,708,9,0.45
"GET","key1001",209,4,67,86,1,699,9,0.45
"GET","key1002",203,2,78,95,5,654,9,0.44
"GET","key1003",216,3,88,102,3,568,9,0.47
"GET","key1004",206,2,78,96,2,632,9,0.45
"GET","key1005",200,4,86,100,6,750,9,0.43
"GET","key1006",198,1,82,96,0,665,9,0.43
"GET","key1007",189,1,98,107,5,693,9,0.41
"GET","key1008",196,1,92,101,2,599,9,0.42
"GET","key1009",191,1,73,89,5,632,9,0.41
"GET","key101",199,4,85,98,0,683,8,0.43
"GET","key1010",213,1,81,98,6,640,9,0.46
"GET","key1011",183,2,77,94,4,751,9,0.40
"GET","key1012",194,2,76,87,4,636,9,0.42
"GET","key1013",173,1,83,101,2,651,9,0.37
"GET","key1014",172,5,78,94,5,766,9,0.37
"GET","key1015",161,1,84,97,1,768,9,0.35
"GET","key1016",173,2,74,100,4,638,9,0.37
"GET","key1017",185,2,76,90,5,718,9,0.40
"GET","key1018",164,1,77,103,2,652,9,0.35
"GET","key1019",182,0,92,98,3,629,9,0.39
"GET","key102",170,2,82,94,3,529,8,0.37
"GET","key1020",176,1,80,96,1,561,9,0.38
"GET","key1021",184,0,86,98,1,766,9,0.40
"GET","key1022",232,2,87,100,3,672,9,0.50
"GET","key1023",164,1,75,88,1,613,9,0.35
"GET","key1024",188,2,72,92,0,697,9,0.41
"GET","key1025",177,1,83,95,1,646,9,0.38
"GET","key1026",174,4,82,95,2,585,9,0.38
"GET","key1027",184,3,82,105,2,686,9,0.40
"GET","key1028",179,2,89,96,4,638,9,0.39
"GET","key1029",173,0,83,94,5,673,9,0.37
"GET","key103",207,5,71,86,3,629,8,0.45
"GET","key1030",206,4,69,86,1,466,9,0.45
"GET","key1031",178,2,77,96,4,713,9,0.39
"GET","key1032",198,3,80,99,2,704,9,0.43
"GET","key1033",176,3,78,87,3,374,9,0.38
"GET","key1034",191,4,83,93,2,652,9,0.41
"GET","key1035",214,2,85,95,0,518,9,0.46
"GET","key1036",210,1,85,95,1,566,9,0.45
"GET","key1037",209,3,77,98,3,667,9,0.45
"GET","key1038",216,1,93,102,1,621,9,0.47
"GET","key1039",186,0,82,97,1,531,9,0.40
"GET","key104",191,2,87,101,2,587,8,0.41
"GET","key1040",198,1,85,97,4,611,9,0.43
"GET","key1041",203,0,76,97,2,746,9,0.44
"GET","key1042",180,2,69,89,1,656,9,0.39
"GET","key1043",231,2,84,92,0,666,9,0.50
"GET","key1044",216,1,83,96,2,537,9,0.47
"GET","key1045",190,1,83,96,2,704,9,0.41
"GET","key1046",200,3,76,96,2,653,9,0.43
"GET","key1047",216,5,91,104,0,662,9,0.47
"GET","key1048",192,2,77,2507,1,462593,9,0.42
"GET","key1049",188,2,92,107,3,686,9,0.41
"GET","key105",164,1,82,87,3,510,8,0.35
"GET","key1050",187,3,87,100,4,662,9,0.40
"GET","key1051",207,5,77,98,2,666,9,0.45
"GET","key1052",192,0,73,91,6,651,9,0.42
"GET","key1053",197,1,80,89,1,244,9,0.43
"GET","key1054",210,3,87,103,0,609,9,0.45
"GET","key1055",171,1,74,94,0,671,9,0.37
"GET","key1056",181,1,71,90,2,639,9,0.39
"GET","key1057",196,2,77,94,4,711,9,0.42
"GET","key1058",202,3,88,99,4,680,9,0.44
"GET","key1059",201,2,84,102,2,597,9,0.44
"GET","key106",174,1,83,105,4,678,8,0.38
"GET","key1060",185,1,93,99,2,677,9,0.40
"GET","key1061",204,3,89,97,1,461,9,0.44
"GET","key1062",180,0,76,87,1,504,9,0.39
"GET","key1063",190,2,97,98,3,518,9,0.41
"GET","key1064",189,3,84,95,4,593,9,0.41
"GET","key1065",187,2,82,104,1,706,9,0.40
"GET","key1066",170,3,70,86,0,635,9,0.37
"GET","key1067",168,2,73,97,0,641,9,0.36
"GET","key1068",195,1,82,96,5,754,9,0.42
"GET","key1069",167,3,84,93,1,455,9,0.36
"GET","key107",192,0,78,101,2,677,8,0.42
"GET","key1070",211,2,81,92,4,675,9,0.46
"GET","key1071",181,1,96,109,1,643,9,0.39
"GET","key1072",202,1,90,101,2,752,9,0.44
"GET","key1073",171,2,87,93,9,667,9,0.37
"GET","key1074",183,3,80,97,2,557,9,0.40
"GET","key1075",197,1,87,97,2,648,9,0.43
"GET","key1076",203,5,87,97,7,702,9,0.44
"GET","key1077",198,0,81,102,2,707,9,0.43
"GET","key1078",206,1,80,94,0,632,9,0.45
"GET","key1079",188,2,83,95,3,536,9,0.41
"GET","key108",192,1,88,102,2,699,8,0.42
"GET","key1080",169,0,80,89,5,632,9,0.37
"GET","key1081",193,2,87,95,2,551,9,0.42
"GET","key1082",203,4,78,97,6,736,9,0.44
"GET","key1083",198,1,85,97,4,673,9,0.43
"GET","key1084",183,2,88,102,3,631,9,0.40
"GET","key1085",185,1,86,102,0,672,9,0.40
"GET","key1086",202,0,85,91,2,532,9,0.44
"GET","key1087",188,1,78,94,2,681,9,0.41
"GET","key1088",206,2,84,91,4,475,9,0.45
"GET","key1089",190,2,80,96,0,677,9,0.41
"GET","key109",165,0,72,84,3,493,8,0.36
"GET","key1090",182,1,98,99,3,684,9,0.39
"GET","key1091",214,2,75,94,5,684,9,0.46
"GET","key1092",183,0,75,92,4,645,9,0.40
"GET","key1093",183,1,90,110,2,675,9,0.40
"GET","key1094",184,2,90,110,3,709,9,0.40
"GET","key1095",174,1,77,93,4,539,9,0.38
"GET","key1096",206,3,85,103,4,644,9,0.45
"GET","key1097",190,0,83,98,2,614,9,0.41
"GET","key1098",203,2,90,97,8,487,9,0.44
"GET","key1099",169,3,73,90,0,711,9,0.37
"GET","key11",206,3,78,91,1,575,7,0.45
"GET","key110",201,6,79,91,3,607,8,0.44
"GET","key1100",202,1,71,90,2,685,9,0.44
"GET","key1101",226,1,85,93,5,637,9,0.49
"GET","key1102",190,4,86,99,2,631,9,0.41
"GET","key1103",190,4,75,101,6,684,9,0.41
"GET","key1104",170,3,75,86,0,232,9,0.37
"GET","key1105",192,3,87,104,1,663,9,0.42
"GET","key1106",196,2,84,95,7,733,9,0.42
"GET","key1107",210,2,79,95,5,652,9,0.45
"GET","key1108",208,3,73,85,2,543,9,0.45
"GET","key1109",187,3,88,94,5,609,9,0.40
"GET","key111",188,2,79,99,4,619,8,0.41
"GET","key1110",181,1,70,83,1,628,9,0.39
"GET","key1111",182,4,95,101,2,670,9,0.39
"GET","key1112",167,1,81,106,2,674,9,0.36
"GET","key1113",185,3,72,82,0,237,9,0.40
"GET","key1114",195,2,77,95,0,646,9,0.42
"GET","key1115",191,2,88,96,6,571,9,0.41
"GET","key1116",201,2,87,97,0,632,9,0.44
"GET","key1117",205,1,80,88,8,277,9,0.44
"GET","key1118",220,1,74,94,0,669,9,0.48
"GET","key1119",175,2,92,99,2,685,9,0.38
"GET","key112",187,0,85,91,0,667,8,0.40
"GET","key1120",191,0,85,98,2,622,9,0.41
"GET","key1121",208,1,83,99,3,673,9,0.45
"GET","key1122",206,1,77,90,1,491,9,0.45
"GET","key1123",209,2,84,96,3,650,9,0.45
"GET","key1124",175,1,89,97,7,662,9,0.38
"GET","key1125",216,1,84,104,1,604,9,0.47
"GET","key1126",173,1,81,91,1,625,9,0.37
"GET","key1127",179,0,89,110,12,685,9,0.39
"GET","key1128",221,4,82,94,1,537,9,0.48
"GET","key1129",212,3,87,106,4,666,9,0.46
"GET","key113",177,1,80,87,0,671,8,0.38
"GET","key1130",197,0,83,96,3,624,9,0.43
"GET","key1131",203,1,80,90,0,694,9,0.44
"GET","key1132",214,2,84,102,2,701,9,0.46
"GET","key1133",207,3,86,103,0,742,9,0.45
"GET","key1134",173,3,78,93,0,621,9,0.37
"GET","key1135",222,1,87,103,0,749,9,0.48
"GET","key1136",190,0,79,92,0,554,9,0.41
"GET","key1137",213,2,72,94,4,663,9,0.46
"GET","key1138",225,3,86,102,0,769,9,0.49
"GET","key1139",178,1,81,100,0,677,9,0.39
"GET","key114",196,3,73,103,5,700,8,0.42
"GET","key1140",189,3,79,91,2,649,9,0.41
"GET","key1141",199,2,80,90,0,483,9,0.43
"GET","key1142",177,1,79,91,7,640,9,0.38
"GET","key1143",191,3,86,105,1,680,9,0.41
"GET","key1144",201,4,81,96,2,669,9,0.44
"GET","key1145",189,5,84,101,5,673,9,0.41
"GET","key1146",205,2,75,86,0,651,9,0.44
"GET","key1147",204,3,83,100,4,702,9,0.44
"GET","key1148",184,0,76,86,0,530,9,0.40
"GET","key1149",202,3,76,95,5,646,9,0.44
