"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1",101,0,110,116,0,443,6,0.56
"GET","key10",78,0,110,122,0,623,7,0.44
"GET","key100",63,0,110,130,73,495,8,0.35
"GET","key1000",84,0,100,124,65,497,9,0.47
"GET","key1001",67,0,98,108,0,470,9,0.37
"GET","key1002",73,0,100,123,67,452,9,0.41
"GET","key1003",69,0,110,126,62,556,9,0.39
"GET","key1004",66,0,100,119,65,496,9,0.37
"GET","key1005",81,0,120,132,73,470,9,0.45
"GET","key1006",83,0,110,124,68,493,9,0.46
"GET","key1007",74,0,110,109,0,202,9,0.41
"GET","key1008",79,0,100,136,0,552,9,0.44
"GET","key1009",62,0,100,110,65,430,9,0.35
"GET","key101",63,0,110,119,0,540,8,0.35
"GET","key1010",87,0,110,113,0,458,9,0.49
"GET","key1011",65,0,110,129,68,540,9,0.36
"GET","key1012",76,0,100,124,66,552,9,0.42
"GET","key1013",78,0,100,112,63,443,9,0.44
"GET","key1014",88,0,110,126,67,494,9,0.49
"GET","key1015",82,0,110,128,65,522,9,0.46
"GET","key1016",58,0,100,110,69,425,9,0.32
"GET","key1017",53,0,100,119,66,475,9,0.30
"GET","key1018",77,0,110,109,67,224,9,0.43
"GET","key1019",63,0,100,118,0,500,9,0.35
"GET","key102",68,0,100,123,72,500,8,0.38
"GET","key1020",88,0,110,150,57,556,9,0.49
"GET","key1021",64,0,100,108,65,223,9,0.36
"GET","key1022",105,0,110,121,67,448,9,0.59
"GET","key1023",59,0,110,118,70,494,9,0.33
"GET","key1024",76,0,98,105,0,433,9,0.42
"GET","key1025",70,0,110,111,64,417,9,0.39
"GET","key1026",104,0,110,126,63,475,9,0.58
"GET","key1027",60,0,95,99,0,193,9,0.33
"GET","key1028",54,0,100,117,0,417,9,0.30
"GET","key1029",63,0,110,128,64,497,9,0.35
"GET","key103",74,0,110,132,60,504,8,0.41
"GET","key1030",67,0,100,121,61,530,9,0.37
"GET","key1031",60,0,100,113,62,419,9,0.33
"GET","key1032",69,0,100,121,62,470,9,0.39
"GET","key1033",82,0,110,116,67,433,9,0.46
"GET","key1034",53,0,100,118,64,414,9,0.30
"GET","key1035",89,0,110,127,57,555,9,0.50
"GET","key1036",80,0,120,128,67,490,9,0.45
"GET","key1037",69,0,110,122,65,499,9,0.39
"GET","key1038",92,0,110,126,0,517,9,0.51
"GET","key1039",65,0,100,106,64,211,9,0.36
"GET","key104",91,0,110,127,0,499,8,0.51
"GET","key1040",54,0,94,102,63,228,9,0.30
"GET","key1041",64,0,110,124,63,455,9,0.36
"GET","key1042",65,0,110,116,0,496,9,0.36
"GET","key1043",66,0,110,116,67,566,9,0.37
"GET","key1044",61,0,100,140,0,565,9,0.34
"GET","key1045",56,0,98,112,0,573,9,0.31
"GET","key1046",54,0,100,118,68,570,9,0.30
"GET","key1047",62,0,110,122,0,431,9,0.35
"GET","key1048",96,0,110,120,0,475,9,0.54
"GET","key1049",78,0,110,113,64,408,9,0.44
"GET","key105",89,0,110,123,64,451,8,0.50
"GET","key1050",80,0,100,117,65,576,9,0.45
"GET","key1051",49,0,91,118,63,524,9,0.27
"GET","key1052",95,0,100,127,0,557,9,0.53
"GET","key1053",83,0,110,122,0,521,9,0.46
"GET","key1054",80,0,110,122,0,462,9,0.45
"GET","key1055",69,0,100,115,0,537,9,0.39
"GET","key1056",66,0,100,121,65,474,9,0.37
"GET","key1057",69,0,110,127,65,456,9,0.39
"GET","key1058",74,0,100,109,0,223,9,0.41
"GET","key1059",83,0,110,119,0,547,9,0.46
"GET","key106",70,0,100,117,67,539,8,0.39
"GET","key1060",66,0,98,108,62,496,9,0.37
"GET","key1061",73,0,110,112,0,450,9,0.41
"GET","key1062",92,0,100,118,0,555,9,0.51
"GET","key1063",74,0,100,117,0,475,9,0.41
"GET","key1064",90,0,110,121,67,488,9,0.50
"GET","key1065",84,0,110,118,68,236,9,0.47
"GET","key1066",42,0,110,118,68,436,9,0.23
"GET","key1067",79,0,110,127,0,460,9,0.44
"GET","key1068",42,0,99,113,63,458,9,0.23
"GET","key1069",63,0,99,127,0,564,9,0.35
"GET","key107",71,0,100,108,63,456,8,0.40
"GET","key1070",40,0,92,109,0,532,9,0.22
"GET","key1071",61,0,99,115,69,451,9,0.34
"GET","key1072",103,0,110,116,61,525,9,0.57
"GET","key1073",82,0,100,109,66,230,9,0.46
"GET","key1074",70,0,100,122,0,506,9,0.39
"GET","key1075",68,0,120,132,64,446,9,0.38
"GET","key1076",67,0,100,117,65,485,9,0.37
"GET","key1077",89,0,100,114,0,497,9,0.50
"GET","key1078",62,0,100,122,0,507,9,0.35
"GET","key1079",84,0,100,112,0,506,9,0.47
"GET","key108",76,0,97,106,0,453,8,0.42
"GET","key1080",53,0,110,143,62,486,9,0.30
"GET","key1081",82,0,120,133,67,519,9,0.46
"GET","key1082",63,0,100,116,62,496,9,0.35
