"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1",64,3,120,147,0,515,6,0.26
"GET","key10",48,2,120,186,79,709,7,0.20
"GET","key100",67,0,120,170,1,888,8,0.28
"GET","key1000",98,0,130,155,0,556,9,0.40
"GET","key1001",98,2,120,152,0,539,9,0.40
"GET","key1002",58,0,110,132,0,712,9,0.24
"GET","key1003",105,2,120,155,0,534,9,0.43
"GET","key1004",91,0,120,157,0,521,9,0.38
"GET","key1005",54,4,130,190,86,789,9,0.22
"GET","key1006",63,1,120,140,74,552,9,0.26
"GET","key1007",56,0,110,148,0,500,9,0.23
"GET","key1008",77,3,120,174,0,740,9,0.32
"GET","key1009",97,0,120,161,0,801,9,0.40
"GET","key101",71,0,120,161,0,903,8,0.29
"GET","key1010",84,0,120,160,0,576,9,0.35
"GET","key1011",81,1,120,158,0,792,9,0.33
"GET","key1012",78,1,120,140,0,895,9,0.32
"GET","key1013",80,0,120,176,0,912,9,0.33
"GET","key1014",78,0,120,164,81,900,9,0.32
"GET","key1015",81,1,120,169,82,777,9,0.33
"GET","key1016",82,2,130,167,0,754,9,0.34
"GET","key1017",90,3,120,146,0,504,9,0.37
"GET","key1018",58,0,120,170,79,522,9,0.24
"GET","key1019",60,1,110,136,0,503,9,0.25
"GET","key102",75,5,130,166,0,534,8,0.31
"GET","key1020",69,1,120,150,0,549,9,0.28
"GET","key1021",83,2,130,176,81,898,9,0.34
"GET","key1022",101,2,130,178,0,788,9,0.42
"GET","key1023",54,0,120,171,0,932,9,0.22
"GET","key1024",77,2,120,162,84,782,9,0.32
"GET","key1025",63,2,110,132,0,564,9,0.26
"GET","key1026",116,0,120,175,0,807,9,0.48
"GET","key1027",58,0,120,146,0,496,9,0.24
"GET","key1028",103,1,130,190,0,774,9,0.42
"GET","key1029",113,0,130,165,0,890,9,0.47
"GET","key103",69,0,120,203,0,905,8,0.28
"GET","key1030",42,1,110,125,0,512,9,0.17
"GET","key1031",81,4,130,168,0,556,9,0.33
"GET","key1032",61,0,120,206,1,807,9,0.25
"GET","key1033",56,0,130,174,0,565,9,0.23
"GET","key1034",87,12,120,161,0,744,9,0.36
"GET","key1035",55,0,120,159,82,541,9,0.23
"GET","key1036",68,0,120,142,78,485,9,0.28
"GET","key1037",75,1,120,158,0,540,9,0.31
"GET","key1038",43,1,110,165,78,760,9,0.18
"GET","key1039",57,1,120,162,78,812,9,0.23
"GET","key104",44,0,120,179,0,908,8,0.18
"GET","key1040",74,0,120,162,0,666,9,0.31
"GET","key1041",53,3,120,167,0,901,9,0.22
"GET","key1042",65,2,120,167,73,694,9,0.27
"GET","key1043",62,1,130,165,79,517,9,0.26
"GET","key1044",49,0,110,153,80,525,9,0.20
"GET","key1045",85,0,110,140,79,519,9,0.35
"GET","key1046",68,0,120,153,80,525,9,0.28
"GET","key1047",72,3,110,149,0,554,9,0.30
"GET","key1048",65,4,120,161,0,763,9,0.27
"GET","key1049",72,0,120,185,81,849,9,0.30
"GET","key105",64,4,120,151,82,753,8,0.26
"GET","key1050",73,1,130,185,0,814,9,0.30
"GET","key1051",71,0,110,131,0,479,9,0.29
"GET","key1052",71,0,140,186,87,727,9,0.29
"GET","key1053",50,0,110,123,0,480,9,0.21
"GET","key1054",52,2,110,170,81,896,9,0.21
