"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","key1",1054611,0,55,92,0,2625,6,2273.19
"write","key1",3,0,57,89,40,172,1,0.01
"write","key10",2,0,71,74,71,77,1,0.00
"write","key100",3,0,34,30,6,52,1,0.01
"write","key1000",9,0,74,415,52,2329,1,0.02
"write","key10000",1,0,47,47,47,47,1,0.00
"write","key10001",2,0,56,60,56,64,1,0.00
"write","key10002",3,0,72,57,26,73,1,0.01
"write","key10003",3,0,62,718,20,2072,1,0.01
"write","key10004",6,0,50,59,44,79,1,0.01
"write","key10005",3,0,62,52,13,82,1,0.01
"write","key10006",10,0,65,63,48,72,1,0.02
"write","key10007",3,0,62,55,38,65,1,0.01
"write","key10008",7,0,59,65,33,118,1,0.02
"write","key10009",7,0,30,29,0,55,1,0.02
"write","key1001",6,0,56,324,3,1665,1,0.01
"write","key10010",12,0,65,84,20,303,1,0.03
"write","key10011",3,0,50,37,0,61,1,0.01
"write","key10012",2,0,58,59,58,61,1,0.00
"write","key10013",4,0,73,81,53,120,1,0.01
"write","key10014",4,0,110,105,89,114,1,0.01
"write","key10015",7,0,51,48,25,67,1,0.02
"write","key10016",6,0,58,95,37,308,1,0.01
"write","key10017",10,0,46,50,0,107,1,0.02
"write","key10018",10,0,60,69,0,167,1,0.02
"write","key10019",7,0,56,53,26,78,1,0.02
"write","key1002",4,0,55,586,53,2160,1,0.01
"write","key10020",2,0,49,57,49,65,1,0.00
"write","key10021",4,0,61,80,38,125,1,0.01
"write","key10022",2,0,15,31,15,47,1,0.00
"write","key10023",6,0,48,52,18,101,1,0.01
"write","key10024",23,0,60,67,21,311,1,0.05
"write","key10025",5,0,48,49,33,69,1,0.01
"write","key10026",15,0,57,177,23,1789,1,0.03
"write","key10027",6,0,43,368,42,1980,1,0.01
"write","key10028",4,0,36,96,23,245,1,0.01
"write","key10029",9,0,43,63,20,231,1,0.02
"write","key1003",3,0,80,770,66,2166,1,0.01
"write","key10030",6,0,73,236,63,1068,1,0.01
"write","key10031",2,0,64,87,64,110,1,0.00
"write","key10033",14,0,74,75,14,152,1,0.03
"write","key10034",5,0,55,68,30,123,1,0.01
"write","key10035",2,0,77,95,77,114,1,0.00
"write","key10036",1,0,19,19,19,19,1,0.00
"write","key10038",6,0,35,43,14,82,1,0.01
"write","key10039",11,0,73,92,13,239,1,0.02
"write","key1004",5,0,53,61,28,115,1,0.01
"write","key10040",2,0,45,56,45,68,1,0.00
"write","key10041",5,0,41,35,11,46,1,0.01
"write","key10042",7,0,78,65,19,103,1,0.02
"write","key10043",10,0,57,60,35,115,1,0.02
"write","key10045",5,0,40,50,31,92,1,0.01
"write","key10048",3,0,29,32,24,44,1,0.01
"write","key10049",2,0,24,45,24,66,1,0.00
"write","key1005",2,0,31,63,31,95,1,0.00
"write","key10050",5,0,44,92,12,309,1,0.01
"write","key10051",7,0,43,63,30,117,1,0.02
"write","key10052",2,0,43,68,43,94,1,0.00
"write","key10053",6,0,46,95,14,319,1,0.01
"write","key10054",2,0,43,80,43,117,1,0.00
"write","key10055",6,0,50,90,15,271,1,0.01
"write","key10056",17,0,45,44,14,90,1,0.04
"write","key10057",1,0,35,35,35,35,1,0.00
"write","key10058",12,0,52,78,20,282,1,0.03
"write","key10059",5,0,65,97,60,227,1,0.01
"write","key1006",14,0,51,52,7,109,1,0.03
"write","key10060",1,0,0,0,0,0,1,0.00
"write","key10061",2,0,50,69,50,88,1,0.00
"write","key10062",2,0,58,60,58,63,1,0.00
"write","key10063",3,0,47,47,45,51,1,0.01
"write","key10064",15,0,63,70,14,244,1,0.03
"write","key10065",2,0,44,46,44,48,1,0.00
"write","key10066",1,0,85,85,85,85,1,0.00
"write","key10067",14,0,48,49,24,77,1,0.03
"write","key10068",13,0,37,55,3,237,1,0.03
"write","key10069",15,0,57,58,14,119,1,0.03
"write","key1007",9,0,57,52,13,88,1,0.02
"write","key10070",11,0,59,260,22,2117,1,0.02
"write","key10071",9,0,56,87,38,303,1,0.02
"write","key10072",4,0,53,54,28,75,1,0.01
"write","key10073",3,0,68,56,26,74,1,0.01
"write","key10074",2,0,110,107,107,108,1,0.00
"write","key10075",4,0,29,538,13,2010,1,0.01
"write","key10077",7,0,61,63,54,79,1,0.02
"write","key10078",4,0,53,51,44,55,1,0.01
"write","key10079",6,0,40,81,9,308,1,0.01
"write","key1008",3,0,67,54,1,94,1,0.01
"write","key10080",7,0,40,105,22,299,1,0.02
"write","key10081",7,0,51,58,49,92,1,0.02
"write","key10082",9,0,61,61,26,87,1,0.02
"write","key10083",2,0,40,74,40,108,1,0.00
"write","key10084",2,0,48,51,48,54,1,0.00
"write","key10085",2,0,39,60,39,82,1,0.00
"write","key10086",3,0,340,954,85,2440,1,0.01
"write","key10087",2,0,32,165,32,298,1,0.00
"write","key10088",9,0,59,60,24,121,1,0.02
